step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
126,45368,504,0.01976623458591801,1.0,1.0,,,,,,,,,
127,45756,508,0.03095327059500268,0.75,0.75,,,,,,,,,
128,46080,512,0.026688908333946697,0.75,0.75,,,,,,,,,
129,46436,516,0.0265669225231462,1.0,1.0,0.022412647152409076,1.0,1.0,,,,,,
130,46696,520,0.026757868417506502,1.0,1.0,,,,,,,,,
131,47020,524,0.020786826915333335,1.0,1.0,,,,,,,,,
132,47344,528,0.033541838114781286,0.75,0.75,,,,,,,,,
133,47700,532,0.03421610908379198,0.75,0.75,,,,,,,,,
134,48024,536,0.026735810768044876,1.0,1.0,,,,,,,,,
135,48380,540,0.03017922503237039,0.25,0.25,,,,,,,,,
136,48736,544,0.01947873324674872,1.0,1.0,,,,,,,,,
137,49124,548,0.024743540568392657,1.0,1.0,0.02050055669693602,1.0,1.0,,,,,,
138,49480,552,0.02886433837862951,0.75,0.75,,,,,,,,,
139,49740,556,0.023890758148125926,1.0,1.0,,,,,,,,,
140,50128,560,0.02709271877946252,0.5,0.5,,,,,,,,,
141,50420,564,0.0369617053363795,0.75,0.75,,,,,,,,,
142,50776,568,0.024979441131140135,1.0,1.0,,,,,,,,,
143,51132,572,0.025711890250255467,1.0,1.0,,,,,,,,,
144,51456,576,0.029522104473810772,0.75,0.75,,,,,,,,,
145,51844,580,0.027483299821518852,1.0,1.0,0.028477339274680165,0.75,0.75,,,,,,
146,52168,584,0.02427406997355598,1.0,1.0,,,,,,,,,
147,52556,588,0.01825172930870501,0.75,0.75,,,,,,,,,
148,52880,592,0.03220833062722903,0.75,0.75,,,,,,,,,
149,53364,596,0.020513035865936412,0.75,0.75,,,,,,,,,
150,53784,600,0.02290650189432483,0.5,0.5,,,,,,,,,
151,54172,604,0.02738753707552129,1.0,1.0,,,,,,,,,
152,54560,608,0.023406637725726515,1.0,1.0,,,,,,,,,
153,54884,612,0.021548477733316362,1.0,1.0,0.03144291410132905,0.75,0.75,,,,,,
154,55272,616,0.02338327884273762,1.0,1.0,,,,,,,,,
155,55596,620,0.027976139481007467,0.75,0.75,,,,,,,,,
156,55920,624,0.028671358081625152,0.75,0.75,,,,,,,,,
157,56276,628,0.017231321581716915,1.0,1.0,,,,,,,,,
158,56600,632,0.025256721536134473,1.0,1.0,,,,,,,,,
159,56924,636,0.028281384098754987,0.75,0.75,,,,,,,,,
160,57184,640,0.024103128048552594,1.0,1.0,,,,,,,,,
161,57540,644,0.02419921171463191,1.0,1.0,0.0268287256259178,0.75,0.75,,,,,,
162,57960,648,0.018867220398466052,1.0,1.0,,,,,,,,,
163,58188,652,0.03325314091385618,0.75,0.75,,,,,,,,,
164,58576,656,0.022085431659635807,1.0,1.0,,,,,,,,,
165,58932,660,0.02114899686365322,1.0,1.0,,,,,,,,,
166,59288,664,0.026137408231741065,1.0,1.0,,,,,,,,,
167,59644,668,0.02324441908586788,1.0,1.0,,,,,,,,,
168,60032,672,0.042264856038502885,0.5,0.5,,,,,,,,,
169,60388,676,0.020584414604732617,1.0,1.0,0.02631873032417383,0.75,0.75,,,,,,
170,60680,680,0.03707311749868785,0.75,0.75,,,,,,,,,
171,60972,684,0.025554303123911066,1.0,1.0,,,,,,,,,
172,61360,688,0.030593967660301025,0.5,0.5,,,,,,,,,
173,61716,692,0.024555788196643558,1.0,1.0,,,,,,,,,
174,62104,696,0.01847889498165126,1.0,1.0,,,,,,,,,
175,62396,700,0.023376369691789654,0.75,0.75,,,,,,,,,
176,62720,704,0.029863631589003348,0.75,0.75,,,,,,,,,
177,63172,708,0.02721013480271523,0.75,0.75,0.02588188405195145,1.0,1.0,,,,,,
178,63560,712,0.023538765742183474,0.75,0.75,,,,,,,,,
179,63884,716,0.024072328360991265,1.0,1.0,,,,,,,,,
180,64240,720,0.021251650817499076,1.0,1.0,,,,,,,,,
181,64628,724,0.026952659008049173,1.0,1.0,,,,,,,,,
182,65080,728,0.017561078850185773,1.0,1.0,,,,,,,,,
183,65372,732,0.028770963506089518,1.0,1.0,,,,,,,,,
184,65888,736,0.026488699388157743,0.5,0.5,,,,,,,,,
185,66180,740,0.02158636251764645,1.0,1.0,0.026377814730533876,1.0,1.0,,,,,,
186,66504,744,0.037781196502569225,0.5,0.5,,,,,,,,,
187,66860,748,0.032967829775637884,0.5,0.5,,,,,,,,,
188,67216,752,0.021038571016325756,1.0,1.0,,,,,,,,,
189,67476,756,0.026577173536479398,0.75,0.75,,,,,,,,,
190,67800,760,0.024328462385091485,0.75,0.75,,,,,,,,,
191,68156,764,0.023792294689584884,1.0,1.0,,,,,,,,,
192,68512,768,0.024497917219013732,1.0,1.0,,,,,,,,,
193,68900,772,0.02603783026147914,0.75,0.75,0.0345758616355126,0.5,0.5,,,,,,
194,69352,776,0.020471850436266207,1.0,1.0,,,,,,,,,
195,69676,780,0.02823753701136957,1.0,1.0,,,,,,,,,
196,70032,784,0.022492164390265853,1.0,1.0,,,,,,,,,
197,70388,788,0.02416197531862614,1.0,1.0,,,,,,,,,
198,70680,792,0.02357855690461773,0.75,0.75,,,,,,,,,
199,71036,796,0.01919388660512084,1.0,1.0,,,,,,,,,
200,71360,800,0.025454418923648636,1.0,1.0,,,,,,,,,
201,71748,804,0.03312591284988635,0.75,0.75,0.021827698342226025,0.75,0.75,,,,,,
202,72072,808,0.0240123733148881,1.0,1.0,,,,,,,,,
203,72492,812,0.02662697970480368,0.75,0.75,,,,,,,,,
204,72816,816,0.03617706901856619,0.5,0.5,,,,,,,,,
205,73140,820,0.025182734132071626,0.75,0.75,,,,,,,,,
206,73592,824,0.020425095792639538,0.75,0.75,,,,,,,,,
207,73948,828,0.019194243317559326,1.0,1.0,,,,,,,,,
208,74784,832,0.011889113930192537,1.0,1.0,,,,,,,,,
209,75108,836,0.01985786886361763,1.0,1.0,0.023852653508929587,0.75,0.75,,,,,,
210,75496,840,0.023042932197500008,1.0,1.0,,,,,,,,,
211,75852,844,0.020086178087811338,1.0,1.0,,,,,,,,,
212,76144,848,0.03459751301452011,0.75,0.75,,,,,,,,,
213,76500,852,0.022671086083517478,1.0,1.0,,,,,,,,,
214,76824,856,0.01979143973030962,0.5,0.5,,,,,,,,,
215,77244,860,0.022973730903437073,1.0,1.0,,,,,,,,,
216,77600,864,0.03178158040421801,0.5,0.5,,,,,,,,,
217,77988,868,0.02908037400347124,0.75,0.75,0.02914864897353391,0.75,0.75,,,,,,
218,78376,872,0.0200085565502844,1.0,1.0,,,,,,,,,
219,78700,876,0.027703586128147488,1.0,1.0,,,,,,,,,
220,79056,880,0.03456475637519335,0.5,0.5,,,,,,,,,
221,79412,884,0.025965361573331545,0.75,0.75,,,,,,,,,
222,79768,888,0.023380584145407526,1.0,1.0,,,,,,,,,
223,80124,892,0.029767160388778732,0.75,0.75,,,,,,,,,
224,80416,896,0.030747999278805824,0.75,0.75,,,,,,,,,
225,80772,900,0.02271135117414045,1.0,1.0,0.025711214735451494,1.0,1.0,,,,,,
226,81192,904,0.01820429297265968,1.0,1.0,,,,,,,,,
227,81548,908,0.02450529725734317,1.0,1.0,,,,,,,,,
228,81872,912,0.022916295156703428,1.0,1.0,,,,,,,,,
