step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
298,107944,1192,0.01815636959443357,0.75,0.75,,,,,,,,,
299,108364,1196,0.018056002154663676,0.75,0.75,,,,,,,,,
300,108720,1200,0.023535640246538803,0.75,0.75,,,,,,,,,
301,109076,1204,0.018677343753655005,1.0,1.0,,,,,,,,,
302,109496,1208,0.01815339817331207,1.0,1.0,,,,,,,,,
303,109852,1212,0.01672933901933267,1.0,1.0,,,,,,,,,
304,110272,1216,0.017759615954903198,1.0,1.0,,,,,,,,,
305,110692,1220,0.019690850821870505,1.0,1.0,0.06928998118457577,0.5,0.5,,,,,,
306,110952,1224,0.023530228301421027,1.0,1.0,,,,,,,,,
307,111340,1228,0.02056624236452667,1.0,1.0,,,,,,,,,
308,111728,1232,0.019200584358945918,1.0,1.0,,,,,,,,,
309,112084,1236,0.020217897515281972,1.0,1.0,,,,,,,,,
310,112504,1240,0.01886837299944351,1.0,1.0,,,,,,,,,
311,112860,1244,0.021327391971652707,1.0,1.0,,,,,,,,,
312,113312,1248,0.026658305090127326,0.75,0.75,,,,,,,,,
313,113668,1252,0.02062711387306374,1.0,1.0,0.039787876351999374,0.75,0.75,,,,,,
314,114056,1256,0.0187996180363316,1.0,1.0,,,,,,,,,
315,114380,1260,0.02140607425237931,1.0,1.0,,,,,,,,,
316,114768,1264,0.018350318895958312,1.0,1.0,,,,,,,,,
317,115156,1268,0.01771836631600196,1.0,1.0,,,,,,,,,
318,115512,1272,0.02390574110737156,0.75,0.75,,,,,,,,,
319,115804,1276,0.0201425097323801,1.0,1.0,,,,,,,,,
320,116160,1280,0.034059411047938325,0.75,0.75,,,,,,,,,
321,116516,1284,0.02255403377656046,1.0,1.0,0.017712269190638934,1.0,1.0,,,,,,
322,116840,1288,0.017352895623200144,1.0,1.0,,,,,,,,,
323,117132,1292,0.019078511068837196,1.0,1.0,,,,,,,,,
324,117456,1296,0.0178546457456834,1.0,1.0,,,,,,,,,
325,117780,1300,0.022385331509983432,1.0,1.0,,,,,,,,,
326,118104,1304,0.022380467893687722,1.0,1.0,,,,,,,,,
327,118492,1308,0.018389855189812357,1.0,1.0,,,,,,,,,
328,118880,1312,0.01998012576491333,1.0,1.0,,,,,,,,,
329,119716,1316,0.008118311155817952,1.0,1.0,0.027381019419045798,0.5,0.5,,,,,,
330,120072,1320,0.019394045824931063,1.0,1.0,,,,,,,,,
331,120460,1324,0.016007606951427725,1.0,1.0,,,,,,,,,
332,120784,1328,0.02034974502245788,1.0,1.0,,,,,,,,,
333,121204,1332,0.016951445208993554,1.0,1.0,,,,,,,,,
